image,framework,runtime_sec,confidence,text
blurry.jpg,Tesseract,0.326,N/A,"OCR Benchmark Test

This is a clean printed text image.

Computer Vision Internship Assignment."
blurry.jpg,EasyOCR,10.521,0.9001,OCR Benchmark Test This is & clean printed text image. Computer Vision Internship Assignment
blurry.jpg,PaddleOCR,1.157,0.974,OCRBenchmarkTest This is a clean printed text image. Computer Vision Internship Assignment
blurry.jpg,TrOCR,8.768,N/A,====
clean.jpg,Tesseract,0.328,N/A,"OCR Benchmark Test

This is a clean printed text image.

Computer Vision Internship Assignment."
clean.jpg,EasyOCR,9.995,0.8377,OCR Benchmark Test This is a clean printed text image. Computer Vision Internship Assignment.
clean.jpg,PaddleOCR,0.527,0.9923,OCR Benchmark Test This is a clean printed text image. Computer Vision Internship Assignment
clean.jpg,TrOCR,2.486,N/A,***
handwritten.jpeg,Tesseract,0.596,N/A,"He Ilo Warld
This is hondwy Hen tex t:
ACR Bench mav hk Assia nmane

ES

eee ee

TTS ee)"
handwritten.jpeg,EasyOCR,14.58,0.4443,"He Ilo Wax lal This As Wv ' Hen Lex & , Cr Ren chmav k V hod kQw t Assla"
handwritten.jpeg,PaddleOCR,0.894,0.855,Hello World This is hcudwvitten text. cR Bench mguk Assignment
handwritten.jpeg,TrOCR,20.348,N/A,# that the situation is being uncertain
non_english.jpg,Tesseract,0.297,N/A,"aad gar
ae ocr Ute eI
puycr fac"
non_english.jpg,EasyOCR,7.046,0.3598,Tag4 Y OCR Wfau 81 d4r fduN
non_english.jpg,PaddleOCR,0.992,0.6204,IhyE I InRlh y6 OCR hQc  fqq
non_english.jpg,TrOCR,3.098,N/A,***
rotated.jpg,Tesseract,0.283,N/A,
rotated.jpg,EasyOCR,17.962,0.9436,is 9 OCR Benchmark This Test clean Computer printed text Vision image. Internship Assignment.
rotated.jpg,PaddleOCR,1.159,0.9951,OCR Benchmark Test This is a clean printed text image Computer Vision Internship Assignment
rotated.jpg,TrOCR,11.647,N/A,SR: TRANSCIPT FOR EXCLUDING WITH RECEIPT FOR ENTERMARY
