filename,ground_truth,prediction
p_0.png,slinking,slinking
p_1.png,REMODELERS,remodelers
p_2.png,Chronographs,erracekeeper plates
p_3.png,Impeaching,impeaching
p_4.png,discombobulated,in preparation in the American
p_5.png,Loots,loots
p_6.png,underpays,under-endents
p_7.png,flameproofed,succeeded
p_8.png,ENTICEMENTS,lenticements
p_9.png,Ukase,ukase
p_10.png,DESCANTED,10 Brown-
p_11.png,Coolidge,coolidge
p_12.png,DOZINESS,poziness
p_13.png,deliberations,tell themselves
p_14.png,supremacy,supremacy
p_15.png,remodelers,remodelers
p_16.png,RESOLED,resoled
p_17.png,Percipience,participience
p_18.png,Terrifyingly,derrylyville .
p_19.png,prizewinner,pattern-im-
p_20.png,elaborately,elaborately
p_21.png,Hopscotched,impowered
p_22.png,Telnetted,telnetted
p_23.png,Disproportional,Dispropriential
p_24.png,WARMING,warming
p_25.png,Bookstores,bookstores
p_26.png,Meter,officination .
p_27.png,SAVAGENESS,savageness
p_28.png,poppadoms,preappearance
p_29.png,guises,gunsiest
p_30.png,TBS,tbs .
p_31.png,Receptacle,receptionable
p_32.png,Mas,nais
p_33.png,gladioli,gillationship
p_34.png,gunships,nurships .
p_35.png,COXES,unmodded to the
p_36.png,dozy,dozy
p_37.png,empowered,empowered
p_38.png,PUZZLERS,puzzlers
p_39.png,DESIGNATING,discounting
p_40.png,goldmine,goldmine
p_41.png,Wrist,wright
p_42.png,Prepped,prepped
p_43.png,punchy,punchy
p_44.png,BELCHING,benching
p_45.png,Tuber,tuber
p_46.png,lavatorial,lavatorial
p_47.png,HOSTESSES,postesses .
p_48.png,bathtub,0 2
p_49.png,HALFWAY,halfway .
