filename,ground_truth,prediction
h_0.png,"assuredness "" Bella Bella Marie "" ( Parlophone ) , a lively song that changes tempo mid-way .","assuredness "" Bella Bella Marie "" ( Bishopsome ) a lively song that changes tempo midway"
h_1.png,"I don't think he will storm the charts with this one , but it 's a good start .","I don't think he will storm the charts with this one , but it's a good start ."
h_2.png,"CHRIS CHARLES , 39 , who lives in Stockton-on-Tees , is an accountant .","CHRIS CHARLES , 33 , who lives in Stockton - on - Tee's , is an"
h_3.png,Become a success with a disc and hey presto ! You 're a star ... . Rolly sings with,Become a success with a disc and they presto ! You're a star ... Rolly sings
h_4.png,"Tolch , as he is known in Tin Pan Alley , likes songs with a month in the title . He wrote","Folch , as he is known in Tin Pan Alley , lives , with a month in the"
h_5.png,""" My September Love , "" the big David Whitfield hit of 1956 .",""" My September Love "" , the big David Whitfield hit of 1956 ."
h_6.png,He is also a director of a couple of garages . And he finds time as well to be a lyric,He is also a director of a couple of garages . And he finds time as well to be
h_7.png,"writer . He writes with Tolchard Evans , composer of "" Lady of Spain "" and other big hits .","writer . He writes with Tolchard Evans , composer of "" Lady of Spain "" and other big"
h_8.png,"The numbers include "" Scotland the Brave , "" "" Men of Harlech , ""","the numbers include "" Scotland the Brave , "" "" Men of Harlem , """
h_9.png,"Fay Compton stars in "" No Hiding Place "" (I T V , 9.35 p.m. ) .","Bay Compton stars in "" No. Hiding Place "" ( I.T.P. , 9"
h_10.png,She plays the possessive mother of a man whose hobby revolves,She plays the possessive mother of a man whose hobby revolves
h_11.png,round a doll's house .,round a doll's house .
h_12.png,"THREE people will be hypnotised in tonight's "" Lifeline ""","THREE people will be hypothesized in tonight's "" Lifeline """
h_13.png,"( B B C , 10.15 ) .","CBE , 10.15 ) ."
h_14.png,""" McNamara's Band , "" "" Greensleeves "" and "" English Rose . """,""" Mr. Namara's band , "" "" Green sleeves "" and "" English base . """
h_15.png,of Rhodesia and Nyasaland ( 10.30 p.m. ) .,of Rhodesia and Nyasaland Co.30 p.m. ) .
h_16.png,They will be asked to comment on the design of everyday articles,They will be asked to comment on the design of everyday articles
h_17.png,"playwright Arnold Wesker . "" Instead , Muggeridge's appointment","playwright Arnold Walker . "" Instead , Muggeridge's opportunity"
h_18.png,such as a chair and a motor-car . The idea is to see what happens when,such as a chair and a motor-car . The idea is to see what happens when
h_19.png,will be with Sir Roy Welensky the Premier of the Federation,will be with Sir Roy Welensky the Premier of the Federation
h_20.png,parts of the mind not normally available without hypnosis are used .,parts at the wind not marginally available without hypnosis are used .
h_21.png,"I T V have postponed Malcolm Muggeridge's "" Appointment with","ITV have postponed Malcolm Muggeridge's "" Appointment with"
h_22.png,"success last night in I T V's "" Private Potter , "" his","success last night in ITV's "" Private Potter , "" his"
h_23.png,man could only be regarded as a machine .,man could only be regarded as a machine .
h_24.png,"date . "" ACTOR Tom Courtenay was an outstanding","Hate . "" ACTOR Tom Courtenay was an outstanding"
h_25.png,the switch because of the topicality of African,the switch because of the typicality of Africans
h_26.png,essay on soldiering which stated that a fighting,essory on coldbenting which started that a fighting
h_27.png,"Say Granada T V , the producers : "" We decided to make","Say Granada TV , the producers ! "" We decided to make"
h_28.png,first big T V part . The play was a brilliantly-written,first big TV part . The play was a brilliantly-written
h_29.png,affairs . The Wesker interview will be seen at a later,offairs . The Wesker interview will be seen at a later
h_30.png,"craggy face , and obstinate , baffled eyes . They stripped","craggy lace , and obstinate , battled eyes . They stripped"
h_31.png,claimed he had seen a vision of God - only the padre and his,claimed Ireland seem on vision of God - only the padre and his
h_32.png,"Potter screamed during an action , and was arrested . He","Potter screamed during an action , and was arrested . He"
h_33.png,"him of his ugly battle-dress , to leave him for",When others might be able to leave him for
h_34.png,vision .,visionplay .
h_35.png,"what he was - Potter , a frightened boy who had a","what he was - better , a frightened boy who had an"
h_36.png,"C O believed him . Courtenay played the part with a gawky ,","co believed him . Courtenay played the past with a gawley ,"
h_37.png,Northern defiance . The cameras played continuously on his,Northern Defiance . The cameras played continuously on his
h_38.png,to the European Common Market .,to the European Common Market
h_39.png,"scene , ranging from pubs , the Eton wall game ,","scene , ranging from pubs , the Eton wall game ,"
h_40.png,"Dennis Brogan , Shelagh Delaney , and Alan Sillitoe .","Dennis Brogan , Shelagh Delaney , and Alan Sillitoe"
h_41.png,"The film replaced "" What 's My Line ? "" and "" Be My","The film replaced "" What's My Line ? "" and "" Be My"
h_42.png,British personalities . Among them - Professor,British personalities . Among them-Professor
h_43.png,The film covered a wide aspect of the British,The film covered a wide aspect of the British
h_44.png,"Guest "" programmes because of an electricians'","Guest "" programmes because of an electricians"
h_45.png,"of an American T V reporter , Eric Sevareid , and","of an American TV reporter , Eric Sevareid , and"
h_46.png,strike . It showed Britain today through the eyes,strike . It showed Britain today through the eyes
h_47.png,Britain was slipping behind ... .,Britain was slipping behind ... .
h_48.png,to make the strongest criticisms . He said,to make the strongest criticisms . He said
h_49.png,Shelagh Delaney and Alan Sillitoe attacked,Shelagh Delaney and Alan Sillitoe attacked
