filename,ground_truth,prediction
h_0.png,"assuredness "" Bella Bella Marie "" ( Parlophone ) , a lively song that changes tempo mid-way .","ASSURCHES ""BELLA BELLA HARE"" (EXCLUDANE),A"
h_1.png,"I don't think he will storm the charts with this one , but it 's a good start .","BANT CHINA WE WILL SHARM THE CHARTS WITH THE ONE,BAL IT A GOOD"
h_2.png,"CHRIS CHARLES , 39 , who lives in Stockton-on-Tees , is an accountant .","CHRIS CHARLES, 33, WHO LIVES IN STOCKLAN - ON - TEES"
h_3.png,Become a success with a disc and hey presto ! You 're a star ... . Rolly sings with,BECONE A SUCCESS WITH A BISC AND KEY PESIA. YOU'
h_4.png,"Tolch , as he is known in Tin Pan Alley , likes songs with a month in the title . He wrote","BELCH, AS BE IS AMOUNT IN TAX ALLES, INES SONG WITH"
h_5.png,""" My September Love , "" the big David Whitfield hit of 1956 .","ING SEPTEMBER LOVE"", THE BIG DAVID WHILFIELD HIT 1996."
h_6.png,He is also a director of a couple of garages . And he finds time as well to be a lyric,HE IS ALSO A DIRECTOR OF A COUPLE OF GANGES. AND BE FACE TIME
h_7.png,"writer . He writes with Tolchard Evans , composer of "" Lady of Spain "" and other big hits .","UNTER. HE ARILLE, LAH THOLAND EANS, CARDICI OF """
h_8.png,"The numbers include "" Scotland the Brave , "" "" Men of Harlech , ""","THE WWWSPEDS INCLABLE ""SALLAND THE BREVE, ""NEW OF"
h_9.png,"Fay Compton stars in "" No Hiding Place "" (I T V , 9.35 p.m. ) .","PAY COMPLOY STARS BY "" WE HIDING CLACE"" (ITY, 9"
h_10.png,She plays the possessive mother of a man whose hobby revolves,SHE PLAYS THE PRESCIPE WAGHER OF A WAY WEATIC L
h_11.png,round a doll's house .,ROUND A DELL'S HOUSE.
h_12.png,"THREE people will be hypnotised in tonight's "" Lifeline ""","THUFF PEOPLE WILL BE LIFAN KOOD IN FAMILAY ""LIELUX'"
h_13.png,"( B B C , 10.15 ) .","CBBE, 10.15)."
h_14.png,""" McNamara's Band , "" "" Greensleeves "" and "" English Rose . ""","HE WAWAYA'S BAND, ""EXCEIPPLEIVES"" AND ""ENG"
h_15.png,of Rhodesia and Nyasaland ( 10.30 p.m. ) .,IT PHODESIA AND MYESA LAND (10.30@ M.)
h_16.png,They will be asked to comment on the design of everyday articles,ANY WILL BE SOLD TO CANNER OF THE DESIGN OF EVERYABLE ARFACE
h_17.png,"playwright Arnold Wesker . "" Instead , Muggeridge's appointment","PLEYMENT AMOUNT WEEK."" INFROAD, MATERING'S APPINTAIN"
h_18.png,such as a chair and a motor-car . The idea is to see what happens when,SALM AT A CHAR AND A LOHOR-CAR. THE LEE IS TO SEE
h_19.png,will be with Sir Roy Welensky the Premier of the Federation,"RELL BE WITH, SR KAY WALENSKY THE PREMIER OF THE RECE"
h_20.png,parts of the mind not normally available without hypnosis are used .,PARKS AT THE WILL NOT MATERALLY AVAILABLE WITHOUT INGROSIS
h_21.png,"I T V have postponed Malcolm Muggeridge's "" Appointment with","1 TV HAVE FORPROVED HALES, HIGGERIDGE'S ""APPRIAT"
h_22.png,"success last night in I T V's "" Private Potter , "" his","SALCONS CASH ADJAT IN ITV'S ""PRICATE POTTER"
h_23.png,man could only be regarded as a machine .,WAY COULDAY BE REFUNED BY A WORLD.
h_24.png,"date . "" ACTOR Tom Courtenay was an outstanding",DATE. ACTOL TAX GARDENAY WAS ON AFFSTANDING
h_25.png,the switch because of the topicality of African,HE SWITCH BECAUSE OF THE TOTALITY OF AHROWN
h_26.png,essay on soldiering which stated that a fighting,CASHY ON SANDERING JALAN STATED FINAL A SERVICES
