filename,ground_truth,prediction
p_0.png,slinking,SLINKING
p_1.png,REMODELERS,REMODELERS
p_2.png,Chronographs,CHANGE@NAP RS
p_3.png,Impeaching,IMPEACHING
p_4.png,discombobulated,DISCOUNT: MATER
p_5.png,Loots,LOTS
p_6.png,underpays,UNDERPAYS
p_7.png,flameproofed,SUBANGINGS!
p_8.png,ENTICEMENTS,LENTICEMENTS
p_9.png,Ukase,UKASE
p_10.png,DESCANTED,DESCATED
p_11.png,Coolidge,COOLIDGE
p_12.png,DOZINESS,DOZINESS
p_13.png,deliberations,DELIBERATIONS
p_14.png,supremacy,SUPREMACY
p_15.png,remodelers,TEMODELERS
p_16.png,RESOLED,RESOLED
p_17.png,Percipience,PERCIPIENCE
p_18.png,Terrifyingly,TOTAL AMGIN
p_19.png,prizewinner,PRIZEWINNER
p_20.png,elaborately,ELABORATELY
p_21.png,Hopscotched,HOPSCOT CHED
p_22.png,Telnetted,TELNETTSD
p_23.png,Disproportional,DISPROPORTIONAL
p_24.png,WARMING,WARMING
p_25.png,Bookstores,BOOKSTORS
p_26.png,Meter,METER
p_27.png,SAVAGENESS,SAVAGENESS
p_28.png,poppadoms,PAPPENDS
p_29.png,guises,QUISES
p_30.png,TBS,T@S
p_31.png,Receptacle,RECEPTACLE
p_32.png,Mas,MAS
p_33.png,gladioli,GIAL :018
p_34.png,gunships,@MASWIPS
p_35.png,COXES,COXES
p_36.png,dozy,MOZY
p_37.png,empowered,EMPOWERED
p_38.png,PUZZLERS,PUZZLERS
p_39.png,DESIGNATING,DESIGNATING
p_40.png,goldmine,GOLDMINE
p_41.png,Wrist,WRIST
p_42.png,Prepped,PREPPED
p_43.png,punchy,PUNCHY
p_44.png,BELCHING,BELCHING
p_45.png,Tuber,TUBER
p_46.png,lavatorial,LAVATORUAL
p_47.png,HOSTESSES,HOSTESSE
p_48.png,bathtub,ITEMS FOR
p_49.png,HALFWAY,HALFWAY
